,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,filename,label,info,text
170,194,"All right, look, heres the bottom line Ross, this is fixable, if we act fast, okay.",Rachel,neutral,neutral,17,22,3,7,"00:14:30,536","00:14:35,164",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt22.mp4,neutral,"{'text': ' y marks', 'segments': [{'start': 0.0, 'end': 9.1, 'text': ' y marks'}], 'audio': {'raw': array([-0.00055174, -0.00070738, -0.00135302, ...,  0.01351704,
        0.06020162,  0.07610536], dtype=float32), 'audio_chunks': [array([-0.00055174, -0.00070738, -0.00135302, ...,  0.01351704,
        0.06020162,  0.07610536], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=58x58 at 0x383F0EBD0>, <PIL.Image.Image image mode=RGB size=63x63 at 0x3780A0290>, <PIL.Image.Image image mode=RGB size=66x66 at 0x3780A1190>]}", y marks
171,195,"So, Ill invite him to brunch tomorrow and you can make nice.",Rachel,neutral,neutral,17,23,3,7,"00:14:35,332","00:14:38,126",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt23.mp4,neutral,"{'text': ' And learn to branch tomorrow and you can make noise. Wee!', 'segments': [{'start': 0.0, 'end': 4.7, 'text': ' And learn to branch tomorrow and you can make noise.'}, {'start': 4.7, 'end': 5.5, 'text': ' Wee!'}], 'audio': {'raw': array([ 0.00395129,  0.00515743,  0.00214373, ...,  0.0048899 ,
        0.0010487 , -0.00020867], dtype=float32), 'audio_chunks': [array([ 0.00395129,  0.00515743,  0.00214373, ...,  0.0048899 ,
        0.0010487 , -0.00020867], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': []}", And learn to branch tomorrow and you can make noise. Wee!
172,196,"Look, honey, I have tried to make nice, it doesnt work.",Ross,anger,negative,17,24,3,7,"00:14:38,294","00:14:41,546",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt24.mp4,angry,"{'text': ' So that... and that was unfortunate little joke.', 'segments': [{'start': 0.0, 'end': 7.140000000000001, 'text': ' So that... and that was unfortunate little joke.'}], 'audio': {'raw': array([ 0.0026356 ,  0.00242425,  0.00156007, ..., -0.0010955 ,
       -0.00146137, -0.00088391], dtype=float32), 'audio_chunks': [array([ 0.0026356 ,  0.00242425,  0.00156007, ..., -0.0010955 ,
       -0.00146137, -0.00088391], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=202x202 at 0x383EFE590>, <PIL.Image.Image image mode=RGB size=191x191 at 0x38407E450>, <PIL.Image.Image image mode=RGB size=190x190 at 0x3780A0750>, <PIL.Image.Image image mode=RGB size=194x194 at 0x383EE8D90>]}", So that... and that was unfortunate little joke.
173,197,"Okay, look, Ross, I realise that my Father is difficult, but thats why you have got to be the bigger man here.",Rachel,neutral,neutral,17,25,3,7,"00:14:41,755","00:14:47,677",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt25.mp4,neutral,"{'text': "" I can't promise a boy I said my father was difficult, but that's why you would talk to me about a man here."", 'segments': [{'start': 0.0, 'end': 11.0, 'text': "" I can't promise a boy I said my father was difficult, but that's why you would talk to me about a man here.""}], 'audio': {'raw': array([ 0.00198036, -0.00291142, -0.00571617, ...,  0.00127414,
        0.00159475,  0.0015968 ], dtype=float32), 'audio_chunks': [array([ 0.00198036, -0.00291142, -0.00571617, ...,  0.00127414,
        0.00159475,  0.0015968 ], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=220x220 at 0x383EC09D0>, <PIL.Image.Image image mode=RGB size=164x164 at 0x38407D8D0>, <PIL.Image.Image image mode=RGB size=178x178 at 0x3840634D0>, <PIL.Image.Image image mode=RGB size=69x69 at 0x383EEB950>]}"," I can't promise a boy I said my father was difficult, but that's why you would talk to me about a man here."
174,198,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldnt make any difference, except that I could pick your Father up and say Like me!",Ross,anger,negative,17,26,3,7,"00:14:47,845","00:15:00,023",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt26.mp4,angry,"{'text': ' Ini ada orang yang irrelevant fís מъJeffbus, flushydi dalam buke bar, Linghe kong, Read the description,Даéqu Merci. Itu Sicilianценegio.', 'segments': [{'start': 0.0, 'end': 4.84, 'text': ' Ini ada orang yang irrelevant fís מъJeffbus,'}, {'start': 4.84, 'end': 7.5600000000000005, 'text': ' flushydi dalam buke bar,'}, {'start': 7.5600000000000005, 'end': 10.6, 'text': ' Linghe kong,'}, {'start': 10.620000000000001, 'end': 14.38, 'text': ' Read the description,'}, {'start': 14.38, 'end': 17.18, 'text': 'Даéqu Merci.'}, {'start': 25.38, 'end': 27.84, 'text': ' Itu Sicilianценegio.'}], 'audio': {'raw': array([ 2.1915038e-03,  8.1676990e-05, -3.7304801e-03, ...,
       -8.5010097e-06, -4.5130197e-05, -3.7111142e-05], dtype=float32), 'audio_chunks': [array([ 2.1915038e-03,  8.1676990e-05, -3.7304801e-03, ...,
        4.0474124e-03,  4.5906799e-03,  4.6330062e-03], dtype=float32), array([ 0.00176925, -0.00269623, -0.00570361, ...,  0.02727243,
        0.02923465,  0.03103721], dtype=float32), array([ 0.03239428,  0.03302963,  0.03285847, ..., -0.00857956,
       -0.00724572, -0.0094047 ], dtype=float32), array([-4.9986811e-03, -5.0831372e-03, -6.0868827e-03, ...,
       -8.5010097e-06, -4.5130197e-05, -3.7111142e-05], dtype=float32), array([], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=172x172 at 0x383EC99D0>, <PIL.Image.Image image mode=RGB size=186x186 at 0x378088A90>, <PIL.Image.Image image mode=RGB size=168x168 at 0x378089F10>, <PIL.Image.Image image mode=RGB size=194x194 at 0x378088B10>, <PIL.Image.Image image mode=RGB size=195x195 at 0x3780880D0>, <PIL.Image.Image image mode=RGB size=192x192 at 0x37808B050>, <PIL.Image.Image image mode=RGB size=174x174 at 0x378088890>, <PIL.Image.Image image mode=RGB size=195x195 at 0x37808AE10>, <PIL.Image.Image image mode=RGB size=196x196 at 0x378089410>, <PIL.Image.Image image mode=RGB size=209x209 at 0x37808AF10>, <PIL.Image.Image image mode=RGB size=202x202 at 0x37808B750>, <PIL.Image.Image image mode=RGB size=194x194 at 0x37808B690>]}"," Ini ada orang yang irrelevant fís מъJeffbus, flushydi dalam buke bar, Linghe kong, Read the description,Даéqu Merci. Itu Sicilianценegio."
175,199,Like me tiny doctor!,Ross,anger,negative,17,27,3,7,"00:14:55,644","00:15:00,023",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt27.mp4,angry,"{'text': ' Да, окenschaft.""', 'segments': [{'start': 0.0, 'end': 0.12, 'text': ' Да, окenschaft.""'}], 'audio': {'raw': array([-1.4418971e-03, -9.4509468e-04,  1.6292030e-03, ...,
        2.5263171e-05, -1.0423535e-05, -4.6100959e-05], dtype=float32), 'audio_chunks': [array([-1.4418971e-03, -9.4509468e-04,  1.6292030e-03, ...,
       -1.0146815e-03, -4.3753540e-04,  7.0553469e-05], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=195x195 at 0x383EB9ED0>, <PIL.Image.Image image mode=RGB size=189x189 at 0x383EBB8D0>, <PIL.Image.Image image mode=RGB size=226x226 at 0x383EBA990>, <PIL.Image.Image image mode=RGB size=197x197 at 0x383EB9610>, <PIL.Image.Image image mode=RGB size=211x211 at 0x383EBBD90>]}"," Да, окenschaft."""
176,200,"Okay, well cant you just try it one more time Ross? For me? For me?",Rachel,sadness,negative,17,28,3,7,"00:15:01,817","00:15:05,320",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt28.mp4,sad,"{'text': ' I will try to try and get no time for me, for me.', 'segments': [{'start': 0.0, 'end': 7.0, 'text': ' I will try to try and get no time for me, for me.'}], 'audio': {'raw': array([-0.02253406, -0.03322656, -0.03231008, ...,  0.03589753,
        0.03824928,  0.03700086], dtype=float32), 'audio_chunks': [array([-0.02253406, -0.03322656, -0.03231008, ...,  0.03589753,
        0.03824928,  0.03700086], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=104x104 at 0x3780A08D0>, <PIL.Image.Image image mode=RGB size=83x83 at 0x3840624D0>, <PIL.Image.Image image mode=RGB size=108x108 at 0x383EE8910>, <PIL.Image.Image image mode=RGB size=122x122 at 0x383EE8B50>]}"," I will try to try and get no time for me, for me."
177,201,"Rachel one brunch is not gonna solve anything. You gotta face it, okay were never gonna get along.",Ross,anger,negative,17,29,3,7,"00:15:05,487","00:15:10,575",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt29.mp4,angry,"{'text': "" The rats' dogs grabe blind from the washed yoke on the shade of his ficabeth, the coyote Another good night's star."", 'segments': [{'start': 0.0, 'end': 7.5, 'text': "" The rats' dogs grabe blind from the washed yoke on the shade of his ficabeth,""}, {'start': 7.5, 'end': 12.88, 'text': "" the coyote Another good night's star.""}], 'audio': {'raw': array([-2.3732926e-03, -2.7683894e-03, -9.1644377e-04, ...,
       -5.3175885e-05, -3.9817049e-05, -7.2200193e-05], dtype=float32), 'audio_chunks': [array([-2.3732926e-03, -2.7683894e-03, -9.1644377e-04, ...,
       -5.3175885e-05, -3.9817049e-05, -7.2200193e-05], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=121x121 at 0x38405FC50>, <PIL.Image.Image image mode=RGB size=117x117 at 0x384063690>, <PIL.Image.Image image mode=RGB size=106x106 at 0x3780A0950>, <PIL.Image.Image image mode=RGB size=226x226 at 0x3780A0910>, <PIL.Image.Image image mode=RGB size=209x209 at 0x383ED0110>, <PIL.Image.Image image mode=RGB size=209x209 at 0x383EC0550>]}"," The rats' dogs grabe blind from the washed yoke on the shade of his ficabeth, the coyote Another good night's star."
178,202,"Okay, well you are just gonna have too, okay.",Rachel,anger,negative,17,30,3,7,"00:15:10,743","00:15:12,994",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt30.mp4,angry,"{'text': ' Subscribe to find out your sanitary', 'segments': [{'start': 0.0, 'end': 5.16, 'text': ' Subscribe to find out your'}, {'start': 19.26, 'end': 21.400000000000002, 'text': ' sanitary'}], 'audio': {'raw': array([0.01513299, 0.01340264, 0.0060825 , ..., 0.02789779, 0.03134039,
       0.03672278], dtype=float32), 'audio_chunks': [array([0.01513299, 0.01340264, 0.0060825 , ..., 0.02789779, 0.03134039,
       0.03672278], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=119x119 at 0x38407CAD0>, <PIL.Image.Image image mode=RGB size=139x139 at 0x384067510>]}", Subscribe to find out your sanitary
179,203,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I dont wanna have to have a separate room for you too!",Rachel,anger,negative,17,31,3,7,"00:15:13,162","00:15:18,917",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt31.mp4,angry,"{'text': "" The project is anME ogredgame or the delivered of my third owner, Hamark's tiny shun toxicok! I will have to have a shuffle or a twist,"", 'segments': [{'start': 0.0, 'end': 7.44, 'text': "" The project is anME ogredgame or the delivered of my third owner, Hamark's tiny shun toxicok!""}, {'start': 7.9, 'end': 13.26, 'text': ' I will have to have a shuffle or a twist,'}], 'audio': {'raw': array([ 0.01275958,  0.01883741,  0.01560053, ..., -0.00017237,
        0.00032075,  0.00033651], dtype=float32), 'audio_chunks': [array([ 0.01275958,  0.01883741,  0.01560053, ..., -0.00017237,
        0.00032075,  0.00033651], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=156x156 at 0x38403CD10>, <PIL.Image.Image image mode=RGB size=112x112 at 0x3773A3A10>, <PIL.Image.Image image mode=RGB size=118x118 at 0x3773A2510>]}"," The project is anME ogredgame or the delivered of my third owner, Hamark's tiny shun toxicok! I will have to have a shuffle or a twist,"
180,205,"Okay, okay, okay.  Ill get the bagels.",Ross,neutral,neutral,17,32,3,7,"00:15:21,837","00:15:23,671",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia17_utt32.mp4,neutral,"{'text': ' Go out once and say help from Dont feel guilty.', 'segments': [{'start': 0.0, 'end': 8.9, 'text': ' Go out once and say help from Dont feel guilty.'}], 'audio': {'raw': array([-0.00021092, -0.00020185, -0.00023457, ..., -0.00234588,
       -0.00286957, -0.00277602], dtype=float32), 'audio_chunks': [array([-0.00021092, -0.00020185, -0.00023457, ..., -0.00234588,
       -0.00286957, -0.00277602], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=166x166 at 0x3773B4210>]}", Go out once and say help from Dont feel guilty.
181,206,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",Rachel,neutral,neutral,18,0,6,1,"00:04:22,679","00:04:27,933",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia18_utt0.mp4,neutral,"{'text': ' Els and Union happily final sites.', 'segments': [{'start': 0.0, 'end': 10.94, 'text': ' Els and Union happily final sites.'}], 'audio': {'raw': array([-8.36451363e-04,  3.40363337e-03,  9.12781525e-03, ...,
        4.55597547e-05,  1.24693033e-05, -1.09388075e-05], dtype=float32), 'audio_chunks': [array([-8.36451363e-04,  3.40363337e-03,  9.12781525e-03, ...,
        4.55597547e-05,  1.24693033e-05, -1.09388075e-05], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=235x235 at 0x383EDD550>, <PIL.Image.Image image mode=RGB size=216x216 at 0x383EE1510>, <PIL.Image.Image image mode=RGB size=221x221 at 0x383EEE910>, <PIL.Image.Image image mode=RGB size=237x237 at 0x383ED4E50>, <PIL.Image.Image image mode=RGB size=226x226 at 0x383EB5190>]}", Els and Union happily final sites.
182,207,"All right, then you'd better show me some of that too then.",Joey,neutral,neutral,18,1,6,1,"00:04:29,600","00:04:31,895",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia18_utt1.mp4,neutral,"{'text': "" Hope they will understand everyone, But no only need one焠 Daddy! I'm never strong..."", 'segments': [{'start': 0.0, 'end': 4.6000000000000005, 'text': "" Hope they will understand everyone, But no only need one焠 Daddy! I'm never strong...""}], 'audio': {'raw': array([ 2.8615037e-03,  2.9501447e-03,  1.1782991e-03, ...,
        6.7760564e-05,  1.5276502e-04, -1.0885160e-04], dtype=float32), 'audio_chunks': [array([ 2.8615037e-03,  2.9501447e-03,  1.1782991e-03, ...,
        6.7760564e-05,  1.5276502e-04, -1.0885160e-04], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=70x70 at 0x383F1B890>, <PIL.Image.Image image mode=RGB size=246x246 at 0x383F0FC10>]}"," Hope they will understand everyone, But no only need one焠 Daddy! I'm never strong..."
183,208,"Okay, it's missing something. Ooh, I know! Umm, okay.",Rachel,neutral,neutral,18,2,6,1,"00:04:33,523","00:04:39,069",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia18_utt2.mp4,neutral,"{'text': "" That's it. Take care."", 'segments': [{'start': 0.0, 'end': 4.96, 'text': "" That's it.""}, {'start': 4.96, 'end': 8.540000000000001, 'text': ' Take care.'}], 'audio': {'raw': array([-0.02239956, -0.03143318, -0.02795804, ...,  0.0182613 ,
        0.01788275,  0.01752318], dtype=float32), 'audio_chunks': [array([-0.02239956, -0.03143318, -0.02795804, ..., -0.01811389,
       -0.03532215, -0.03747406], dtype=float32), array([-0.02004851,  0.03292958,  0.05441523, ...,  0.0182613 ,
        0.01788275,  0.01752318], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=255x255 at 0x384061550>, <PIL.Image.Image image mode=RGB size=244x244 at 0x384063950>, <PIL.Image.Image image mode=RGB size=83x83 at 0x384063050>, <PIL.Image.Image image mode=RGB size=77x77 at 0x383F0F890>, <PIL.Image.Image image mode=RGB size=62x62 at 0x383F15C50>, <PIL.Image.Image image mode=RGB size=63x63 at 0x383EF66D0>]}", That's it. Take care.
184,209,Really? A purse?,Joey,surprise,positive,19,0,1,1,"00:04:43,666","00:04:45,033",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia19_utt0.mp4,surprise,"{'text': ' And my whole crib', 'segments': [{'start': 0.0, 'end': 2.48, 'text': ' And my whole crib'}], 'audio': {'raw': array([ 2.7003050e-02,  3.1200321e-02,  2.4268359e-02, ...,
       -1.1207021e-09, -1.5363892e-09,  0.0000000e+00], dtype=float32), 'audio_chunks': [array([ 2.7003050e-02,  3.1200321e-02,  2.4268359e-02, ...,
       -1.1207021e-09, -1.5363892e-09,  0.0000000e+00], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=132x132 at 0x383ECB410>, <PIL.Image.Image image mode=RGB size=134x134 at 0x383EE3ED0>]}", And my whole crib
185,210,It's not a purse! It's a shoulder bag.,Rachel,anger,negative,20,0,5,13,"00:04:45,285","00:04:48,161",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt0.mp4,angry,"{'text': ' And then, of course, yesterday, the end …', 'segments': [{'start': 0.0, 'end': 7.5600000000000005, 'text': ' And then, of course, yesterday, the end …'}], 'audio': {'raw': array([-3.7307325e-03, -2.8810445e-03, -1.3888048e-03, ...,
       -2.0469768e-05, -3.0496258e-05, -2.2773916e-05], dtype=float32), 'audio_chunks': [array([-3.7307325e-03, -2.8810445e-03, -1.3888048e-03, ...,
       -2.0469768e-05, -3.0496258e-05, -2.2773916e-05], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=94x94 at 0x38405C210>, <PIL.Image.Image image mode=RGB size=99x99 at 0x3840640D0>, <PIL.Image.Image image mode=RGB size=123x123 at 0x3840733D0>]}"," And then, of course, yesterday, the end …"
186,211,It looks like a women's purse.,Joey,neutral,neutral,20,1,5,13,"00:04:48,871","00:04:50,872",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt1.mp4,neutral,"{'text': '', 'segments': [{'start': 0.0, 'end': 7.22, 'text': ''}], 'audio': {'raw': array([ 0.00748532,  0.01496912,  0.01064143, ..., -0.00914036,
       -0.00243182,  0.00170707], dtype=float32), 'audio_chunks': [array([ 0.00748532,  0.01496912,  0.01064143, ..., -0.00914036,
       -0.00243182,  0.00170707], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=109x109 at 0x38403CF90>, <PIL.Image.Image image mode=RGB size=102x102 at 0x3773B73D0>]}",
187,212,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",Rachel,neutral,neutral,20,2,5,13,"00:04:51,582","00:04:58,547",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt2.mp4,neutral,"{'text': "" Trust me. Man, I'm killing them in a spun drive. I am. Man? I'm killing the bell."", 'segments': [{'start': 0.0, 'end': 2.0, 'text': ' Trust me.'}, {'start': 2.0, 'end': 7.0, 'text': "" Man, I'm killing them in a spun drive.""}, {'start': 9.0, 'end': 10.0, 'text': ' I am.'}, {'start': 10.0, 'end': 12.0, 'text': ' Man?'}, {'start': 12.0, 'end': 14.0, 'text': "" I'm killing the bell.""}], 'audio': {'raw': array([-0.0102457 , -0.01317742, -0.01095972, ...,  0.00034969,
        0.00019258, -0.00016536], dtype=float32), 'audio_chunks': [array([-0.0102457 , -0.01317742, -0.01095972, ..., -0.00685039,
       -0.00747597, -0.00656777], dtype=float32), array([-0.00686399, -0.00882644, -0.01073372, ...,  0.00034969,
        0.00019258, -0.00016536], dtype=float32), array([], dtype=float32), array([], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=116x116 at 0x383EF40D0>, <PIL.Image.Image image mode=RGB size=108x108 at 0x383EEA510>, <PIL.Image.Image image mode=RGB size=111x111 at 0x37808B410>, <PIL.Image.Image image mode=RGB size=112x112 at 0x37808B610>, <PIL.Image.Image image mode=RGB size=92x92 at 0x378088D90>, <PIL.Image.Image image mode=RGB size=90x90 at 0x384064CD0>, <PIL.Image.Image image mode=RGB size=94x94 at 0x383EB8F90>]}"," Trust me. Man, I'm killing them in a spun drive. I am. Man? I'm killing the bell."
188,213,"See look,",Joey,neutral,neutral,20,3,5,13,"00:04:59,465","00:05:02,134",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt3.mp4,neutral,"{'text': ' Try it Yum-yum Try it again', 'segments': [{'start': 0.0, 'end': 1.52, 'text': ' Try it'}, {'start': 1.52, 'end': 2.6, 'text': ' Yum-yum'}, {'start': 2.6, 'end': 4.18, 'text': ' Try it again'}], 'audio': {'raw': array([-3.2779149e-04, -1.4600046e-05,  8.7383574e-05, ...,
        4.3707434e-04, -1.1429968e-04, -9.1512245e-04], dtype=float32), 'audio_chunks': [array([-3.2779149e-04, -1.4600046e-05,  8.7383574e-05, ...,
       -1.1818865e-02, -9.6233506e-03, -8.0389269e-03], dtype=float32), array([-0.00599573, -0.00260964,  0.00147871, ..., -0.064278  ,
       -0.05774966, -0.04264219], dtype=float32), array([-0.01507849,  0.01268787,  0.03212655, ...,  0.00043707,
       -0.0001143 , -0.00091512], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=116x116 at 0x383F09050>, <PIL.Image.Image image mode=RGB size=109x109 at 0x383EEFB90>, <PIL.Image.Image image mode=RGB size=116x116 at 0x384062290>]}", Try it Yum-yum Try it again
189,214,Exactly! Unisex!,Rachel,neutral,neutral,20,4,5,13,"00:05:16,107","00:05:18,150",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt4.mp4,neutral,"{'text': ' Absolute fear, no assaults.', 'segments': [{'start': 0.0, 'end': 3.0, 'text': ' Absolute fear, no assaults.'}], 'audio': {'raw': array([0.00855186, 0.00816731, 0.00457587, ..., 0.00856174, 0.02672891,
       0.01952407], dtype=float32), 'audio_chunks': [array([0.00855186, 0.00816731, 0.00457587, ..., 0.00856174, 0.02672891,
       0.01952407], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=98x98 at 0x383EFC390>, <PIL.Image.Image image mode=RGB size=96x96 at 0x3773A00D0>, <PIL.Image.Image image mode=RGB size=99x99 at 0x38405FE10>]}"," Absolute fear, no assaults."
190,215,Maybe you need sex.,Joey,neutral,neutral,20,5,5,13,"00:05:18,401","00:05:21,528",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt5.mp4,neutral,"{'text': ' From her-whoời. Suschrays, cut the vag uhm rice. FOR THINGS', 'segments': [{'start': 0.0, 'end': 2.18, 'text': ' From her-whoời.'}, {'start': 2.44, 'end': 4.76, 'text': ' Suschrays, cut the vag uhm rice.'}, {'start': 4.84, 'end': 5.34, 'text': ' FOR THINGS'}], 'audio': {'raw': array([-0.0002148 ,  0.00029942,  0.0012559 , ..., -0.0001429 ,
        0.00025004,  0.0016918 ], dtype=float32), 'audio_chunks': [array([-0.0002148 ,  0.00029942,  0.0012559 , ..., -0.00246668,
       -0.00618066, -0.00998292], dtype=float32), array([-0.00436556, -0.00179576, -0.00246711, ..., -0.0001429 ,
        0.00025004,  0.0016918 ], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=176x176 at 0x38403E150>, <PIL.Image.Image image mode=RGB size=176x176 at 0x384062B90>, <PIL.Image.Image image mode=RGB size=166x166 at 0x383EFC5D0>]}"," From her-whoời. Suschrays, cut the vag uhm rice. FOR THINGS"
191,216,No! No Joey! U-N-I-sex.,Rachel,joy,positive,20,6,5,13,"00:05:23,072","00:05:26,616",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia20_utt6.mp4,happy,"{'text': ' Can you enjoy eight-yearue meters of beauty?', 'segments': [{'start': 0.0, 'end': 6.32, 'text': ' Can you enjoy eight-yearue meters of beauty?'}], 'audio': {'raw': array([ 7.5160642e-03,  6.0834615e-03, -2.2177927e-03, ...,
       -7.9424186e-05, -3.8703434e-05, -3.9831757e-05], dtype=float32), 'audio_chunks': [array([ 7.5160642e-03,  6.0834615e-03, -2.2177927e-03, ...,
       -7.9424186e-05, -3.8703434e-05, -3.9831757e-05], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=124x124 at 0x383F18510>, <PIL.Image.Image image mode=RGB size=124x124 at 0x383F18050>, <PIL.Image.Image image mode=RGB size=66x66 at 0x383EFD750>]}", Can you enjoy eight-yearue meters of beauty?
